[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 18.98

Episode:     0 | Reward:      18.98 | Avg100:      18.98
Episode 609, Reward: 22.709949229199005
Episode 610, Reward: 4.1279174479006855
Episode 611, Reward: 5.2750796716847255
Episode 612, Reward: 6.091340876577403
Episode 613, Reward: 38.29691377681655
Episode 614, Reward: 13.622211470083226
Episode 615, Reward: 13.954409570567769
Episode 616, Reward: 5.6422451018862185
Episode 617, Reward: 6.290601669379469
Episode 618, Reward: 14.957248999241347
Episode 619, Reward: 5.138424994421128
Episode 620, Reward: 19.52382575766684
Episode 621, Reward: 4.816585033624597
Episode 622, Reward: 4.423860006836449
Episode 623, Reward: 12.544950459928758
Episode 624, Reward: 6.226786769061433
Episode 625, Reward: 7.405493911610934
Episode 626, Reward: 3.1058351556885007
Episode 627, Reward: 6.239863083706804
Episode 628, Reward: 22.586990840440915
Episode 629, Reward: 27.216230698509264
Episode 630, Reward: 17.869512877116815
Episode 631, Reward: 19.94506863520131
Episode 632, Reward: 16.2333292889942
Episode 633, Reward: 16.900053615696354
Episode 634, Reward: 17.006143672634742
Episode 635, Reward: 5.162475773269665
Episode 636, Reward: 13.965137932260781
Episode 637, Reward: 9.94278596636722
Episode 638, Reward: 24.347386373192094
Episode 639, Reward: 6.704732270659824
Episode 640, Reward: 10.992749674533282
Episode 641, Reward: 14.11389832722461
Episode 642, Reward: 14.29163542033904
Episode 643, Reward: 14.016725416467708
Episode 644, Reward: 15.023811474370252
Episode 645, Reward: 11.688492168669985
Episode 646, Reward: 18.6991764675594
Episode 647, Reward: 27.814829437747985
Episode 648, Reward: 7.400068174583546
Episode 649, Reward: 1.0254294429051087
Episode 650, Reward: 6.726606607386491
Episode 651, Reward: 6.117779901498662
Episode 652, Reward: 14.070470438045758
Episode 653, Reward: 5.4410231838203815
Episode 654, Reward: 3.630148197424792
Episode 655, Reward: 5.1099715543001745
Episode 656, Reward: 13.377371010788584
Episode 657, Reward: 12.350563303949802
Episode 658, Reward: 3.6899743553656483
Episode 659, Reward: 4.066409060101872
Episode 660, Reward: 7.27192268166556
Episode 661, Reward: 11.994594784469239
Episode 662, Reward: 3.844314736713188
Episode 663, Reward: 10.1847196114344
Episode 664, Reward: 18.389099888627676
Episode 665, Reward: 10.819907340613385
Episode 666, Reward: 5.376915930041172
Episode 667, Reward: 4.425270550704677
Episode 668, Reward: 9.724105516461234
Episode 669, Reward: 11.718055146905913
Episode 670, Reward: 4.246149299141913
Episode 671, Reward: 4.629840675234137
Episode 672, Reward: 4.656071439195164
Episode 673, Reward: 4.385552970378821
Episode 674, Reward: 67.06615053152686
Episode 675, Reward: 12.363378694007789
Episode 676, Reward: 13.107198664288752
Episode 677, Reward: 17.25178265908448
Episode 678, Reward: 13.486255373147433
Episode 679, Reward: 6.524802013676091
Episode 680, Reward: 3.8922210422650356
Episode 681, Reward: 6.555934813780337
Episode 682, Reward: 17.534379069967148
Episode 683, Reward: 13.880291624690187
Episode 684, Reward: 5.235431508024385
Episode 685, Reward: 9.87542747712393
Episode 686, Reward: 14.34404049533514
Episode 687, Reward: 23.10999180855778
Episode 688, Reward: 4.162092524744326
Episode 689, Reward: 5.339873986157777
Episode 690, Reward: 16.18597401554672
Episode 691, Reward: 14.755103727496849
Episode 692, Reward: 12.905459415584495
Episode 693, Reward: 14.601472591293657
Episode 694, Reward: 9.366502467631248
Episode 695, Reward: 3.902448736722068
Episode 696, Reward: 4.288660897914391
Episode 697, Reward: 17.152919149616352
Episode 698, Reward: 10.247657364686123
Episode 699, Reward: 4.047130772138402
Episode 700, Reward: 5.196146382197162
Episode 701, Reward: 5.859304942176595
Episode 702, Reward: 3.9166574745989666
