[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 1.63

Episode:     0 | Reward:       1.63 | Avg100:       1.63
[BEST MODEL SAVED] Avg100 Reward: 3.22

Episode:   333 | Reward:       2.81 | Avg100:       3.22
Episode 333, Reward: 2.8127790322462625

[BEST MODEL SAVED] Avg100 Reward: 3.24

Episode:   334 | Reward:       3.26 | Avg100:       3.24
Episode 334, Reward: 3.26215909247367

[BEST MODEL SAVED] Avg100 Reward: 3.26

Episode:   335 | Reward:       5.36 | Avg100:       3.26
Episode 335, Reward: 5.361934273935547

[BEST MODEL SAVED] Avg100 Reward: 3.26

Episode:   336 | Reward:       2.38 | Avg100:       3.26
Episode 336, Reward: 2.3838363863265006

[BEST MODEL SAVED] Avg100 Reward: 3.28

Episode:   337 | Reward:       4.21 | Avg100:       3.28
Episode 337, Reward: 4.21310207596635

[BEST MODEL SAVED] Avg100 Reward: 3.30

Episode:   338 | Reward:       4.48 | Avg100:       3.30
Episode 338, Reward: 4.480619346768504

[BEST MODEL SAVED] Avg100 Reward: 3.30

Episode:   339 | Reward:       2.13 | Avg100:       3.30
Episode 339, Reward: 2.1250742853686253
Episode 340, Reward: 2.0452938452113782

[BEST MODEL SAVED] Avg100 Reward: 3.31

Episode:   341 | Reward:       2.71 | Avg100:       3.31
Episode 341, Reward: 2.7099054023003832

[BEST MODEL SAVED] Avg100 Reward: 3.32

Episode:   342 | Reward:       3.92 | Avg100:       3.32
Episode 342, Reward: 3.918462913142519

[BEST MODEL SAVED] Avg100 Reward: 3.33

Episode:   343 | Reward:       3.59 | Avg100:       3.33
Episode 343, Reward: 3.5874840106970405

[BEST MODEL SAVED] Avg100 Reward: 3.34

Episode:   344 | Reward:       3.65 | Avg100:       3.34
Episode 344, Reward: 3.647475275269265

[BEST MODEL SAVED] Avg100 Reward: 3.35

