[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 16.44

Episode:     0 | Reward:      16.44 | Avg100:      16.44
Episode 486, Reward: 7.414136044868941
Episode 487, Reward: 8.332445117492767
Episode 488, Reward: 11.427402583821294
Episode 489, Reward: 12.688927270701269
Episode 490, Reward: 6.937047409381972
Episode 491, Reward: 11.375899703117746
Episode 492, Reward: 16.644316743666643
Episode 493, Reward: 13.30386904671542
Episode 494, Reward: 7.218891275391326
Episode 495, Reward: 11.982474640754143
Episode 496, Reward: 12.477745119364386
Episode 497, Reward: 6.8180998501597205
Episode 498, Reward: 9.556168885534504
Episode 499, Reward: 14.7233380947412
Episode 500, Reward: 7.257779621666755
Episode 501, Reward: 13.146253694714172
Episode 502, Reward: 8.057467010940638
Episode 503, Reward: 38.26589163351752
Episode 504, Reward: 14.771486016853228
Episode 505, Reward: 6.877202698429196
Episode 506, Reward: 12.765417955077076
Episode 507, Reward: 15.713962850252155
Episode 508, Reward: 7.051356327570652
Episode 509, Reward: 6.502832773199008
Episode 510, Reward: 12.41181297000123
Episode 511, Reward: 8.257259734632502
Episode 512, Reward: 21.784494202991684
Episode 513, Reward: 32.66113299035414
Episode 514, Reward: 14.603181433759893
Episode 515, Reward: 13.123866400693037
Episode 516, Reward: 6.777504799292004
Episode 517, Reward: 10.951269288921637
Episode 518, Reward: 2.655597942554375
Episode 519, Reward: 11.534940793347683
Episode 520, Reward: 7.0946310439834015
Episode 521, Reward: 13.16266317093644
Episode 522, Reward: 13.162272288374401
Episode 523, Reward: 13.929266912231979
Episode 524, Reward: 11.483381255639383
Episode 525, Reward: 2.225973093584887
Episode 526, Reward: 7.520785989672335
Episode 527, Reward: 13.652275352701302
Episode 528, Reward: 21.523270309422475
Episode 529, Reward: 11.645978899318939
Episode 530, Reward: 6.748741491434453
Episode 531, Reward: 10.781019731624978
Episode 532, Reward: 11.738476835492383
Episode 533, Reward: 13.375738038348615
Episode 534, Reward: 42.250361518181094
Episode 535, Reward: 10.687752001490333
Episode 536, Reward: 15.904783942470464
Episode 537, Reward: 13.874544340777424
Episode 538, Reward: 7.084117238797018
Episode 539, Reward: 6.731686764883138
Episode 540, Reward: 6.825360445919624
Episode 541, Reward: 13.865009389559457
Episode 542, Reward: 7.221665491063269
Episode 543, Reward: 14.489522532838611
Episode 544, Reward: 6.752264072995162
Episode 545, Reward: 14.568367125181355
Episode 546, Reward: 6.929274232065185
Episode 547, Reward: 6.351211061861123
Episode 548, Reward: 6.838312425630676
Episode 549, Reward: 18.940670755455983
Episode 550, Reward: 8.177381164447134
Episode 551, Reward: 8.824954305875501
Episode 552, Reward: 7.004584094511041
Episode 553, Reward: 9.27513724805136
Episode 554, Reward: 11.035051668285249
Episode 555, Reward: 6.936132164500639
Episode 556, Reward: 7.977948594409883
Episode 557, Reward: 12.988746302513215
Episode 558, Reward: 13.044564789649272
Episode 559, Reward: 8.01379889424213
Episode 560, Reward: 7.528807580896468
Episode 561, Reward: 17.34030238685436
