[34m[1mwandb[0m: [33mWARNING[0m Linked 1 file into the W&B run directory (hardlinks); call wandb.save again to sync new files.

[BEST MODEL SAVED] Avg100 Reward: 4.61

Episode:     0 | Reward:       4.61 | Avg100:       4.61
Episode:   383 | Reward:       4.28 | Avg100:       4.74
Episode 383, Reward: 4.2772599337150705
Episode 384, Reward: 3.375567005124264
Episode 385, Reward: 3.486151923257043
Episode 386, Reward: 3.895196387975963
Episode 387, Reward: 3.7370170295149903
Episode 388, Reward: 7.0876090506029
Episode 389, Reward: 4.638864072251236
Episode 390, Reward: 3.9703805991962433
Episode 391, Reward: 4.367044558688503
Episode 392, Reward: 4.653110910599475
Episode 393, Reward: 4.714525956934105
Episode 394, Reward: 4.360841151236432
Episode 395, Reward: 3.419356870152323
Episode 396, Reward: 4.366871163704696
Episode 397, Reward: 4.551927663404674
Episode 398, Reward: 4.6829322206856006
Episode 399, Reward: 4.758227346188082
Episode 400, Reward: 3.8886250267897955
Episode 401, Reward: 4.435794550673991
Episode 402, Reward: 5.20561733326042
Episode 403, Reward: 4.305876701593305
Episode 404, Reward: 3.8604079066947756
Episode 405, Reward: 4.70592064756324
Episode 406, Reward: 5.067821097383224
Episode 407, Reward: 5.059617693423511
Episode 408, Reward: 5.360440164246625
Episode 409, Reward: 4.682403081698463
Episode 410, Reward: 4.157833533601551
Episode 411, Reward: 5.1830066725568305
Episode 412, Reward: 3.86005460600875

[BEST MODEL SAVED] Avg100 Reward: 4.74

Episode:   413 | Reward:       4.02 | Avg100:       4.74
Episode 413, Reward: 4.020621725861028

[BEST MODEL SAVED] Avg100 Reward: 4.74

Episode:   414 | Reward:       4.44 | Avg100:       4.74
Episode 414, Reward: 4.439171434438507
Episode 415, Reward: 4.790457553514633
Episode 416, Reward: 5.4107424847091234
Episode 417, Reward: 4.2625654663912895
Episode 418, Reward: 4.811969611811281
Episode 419, Reward: 5.373721315856813
Episode 420, Reward: 4.0387682328456975
Episode 421, Reward: 4.8207642987706665
Episode 422, Reward: 4.643045216313753
Episode 423, Reward: 5.845333815858504
Episode 424, Reward: 4.562765284751836

[BEST MODEL SAVED] Avg100 Reward: 4.75

Episode:   425 | Reward:       6.84 | Avg100:       4.75
Episode 425, Reward: 6.837526848677562

[BEST MODEL SAVED] Avg100 Reward: 4.75

Episode:   426 | Reward:       5.01 | Avg100:       4.75
Episode 426, Reward: 5.010913414142662
Episode 427, Reward: 4.238061252540426
Episode 428, Reward: 4.357018247078304

[BEST MODEL SAVED] Avg100 Reward: 4.75

Episode:   429 | Reward:       5.16 | Avg100:       4.75
Episode 429, Reward: 5.164258592940365

[BEST MODEL SAVED] Avg100 Reward: 4.78

Episode:   430 | Reward:       7.88 | Avg100:       4.78
Episode 430, Reward: 7.880082871411441

[BEST MODEL SAVED] Avg100 Reward: 4.79

Episode:   431 | Reward:       4.85 | Avg100:       4.79
Episode 431, Reward: 4.846183636925337

[BEST MODEL SAVED] Avg100 Reward: 4.81

Episode:   432 | Reward:       5.01 | Avg100:       4.81
Episode 432, Reward: 5.005613467845066

[BEST MODEL SAVED] Avg100 Reward: 4.81

Episode:   433 | Reward:       4.60 | Avg100:       4.81
Episode 433, Reward: 4.602765087127951

[BEST MODEL SAVED] Avg100 Reward: 4.83

